timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
2025-08-29 13:37:54.025,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.026,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.026,URLLC,PDSCH,DL,9.0,-159.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.7,,,
2025-08-29 13:37:54.027,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.027,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.030,URLLC,PDCCH,DL,,,,,,,,,,20.0,,
2025-08-29 13:37:54.030,URLLC,MAC,UL,,,,,,,,,,,,185.0
2025-08-29 13:37:54.032,URLLC,PUSCH,UL,6.0,-266.0,193.0,8.0,0.0,0.67,0.0,1.0,,,,
2025-08-29 13:37:54.047,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.051,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:54.051,URLLC,MAC,UL,,,,,,,,,,,,118.0
2025-08-29 13:37:54.052,URLLC,PUSCH,UL,7.0,-181.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:54.055,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.056,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.056,URLLC,PDSCH,DL,10.0,-223.0,4992.0,8.0,0.0,0.78,0.0,1.0,32.3,,,
2025-08-29 13:37:54.057,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.057,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.060,URLLC,PDCCH,DL,,,,,,,,,,16.0,,
2025-08-29 13:37:54.060,URLLC,MAC,UL,,,,,,,,,,,,148.0
2025-08-29 13:37:54.062,URLLC,PUSCH,UL,8.0,-266.0,153.0,6.0,0.0,0.7,0.0,1.0,,,,
2025-08-29 13:37:54.152,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.156,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:54.156,URLLC,MAC,UL,,,,,,,,,,,,115.0
2025-08-29 13:37:54.157,URLLC,PUSCH,UL,9.0,-257.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:54.160,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
2025-08-29 13:37:54.161,URLLC,PDSCH,DL,11.0,-95.0,4992.0,8.0,0.0,0.78,0.0,1.0,33.3,,,
2025-08-29 13:37:54.161,URLLC,MAC,DL,,,,,,,,,,,,4987.0
2025-08-29 13:37:54.162,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.162,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.165,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:54.165,URLLC,MAC,UL,,,,,,,,,,,,118.0
2025-08-29 13:37:54.167,URLLC,PUSCH,UL,10.0,-266.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:54.252,URLLC,PUCCH,UL,,,,,,,,,,,1.0,
2025-08-29 13:37:54.256,URLLC,PDCCH,DL,,,,,,,,,,13.0,,
2025-08-29 13:37:54.256,URLLC,MAC,UL,,,,,,,,,,,,118.0
2025-08-29 13:37:54.257,URLLC,PUSCH,UL,11.0,-155.0,123.0,6.0,0.0,0.55,0.0,1.0,,,,
2025-08-29 13:37:54.260,URLLC,PDCCH,DL,,,,,,,,,,23.0,,
