timestamp,traffic_type,type,direction,harq,prbs,tb_len,mod,rv_idx,cr,retx,crc_ok,snr,mcs,format,total_len
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,8.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:50.840,eMBB,MAC,DL,9.0,,,,,,0.0,,,26.0,,
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,9.0,3.0,388.0,8.0,0.0,,1.0,,,26.0,,388.0
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,13.0,16.0,7298.0,8.0,0.0,,0.0,0.0,-67.48,25.0,,7298.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,MAC,DL,10.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,15.0,16.0,7298.0,8.0,0.0,,0.0,1.0,-67.48,25.0,,7298.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,13.0,16.0,7298.0,8.0,2.0,,1.0,1.0,-67.48,31.0,,7298.0
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,10.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,MAC,DL,11.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,11.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,0.0,16.0,7298.0,8.0,0.0,,0.0,0.0,-67.48,25.0,,7298.0
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,1.0,16.0,5252.0,8.0,0.0,,0.0,1.0,-67.48,25.0,,5252.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,0.0,32.0,7298.0,8.0,2.0,,1.0,1.0,-67.48,31.0,,7298.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,MAC,DL,12.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,2.0,16.0,5252.0,8.0,0.0,,0.0,1.0,-67.48,25.0,,5252.0
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,12.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:50.840,eMBB,MAC,DL,13.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,13.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:50.840,eMBB,MAC,DL,14.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:50.840,eMBB,PUSCH,UL,14.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:50.840,eMBB,PDSCH,DL,3.0,16.0,7298.0,8.0,0.0,,0.0,1.0,-67.48,25.0,,7298.0
1900-01-01 11:40:50.840,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:51.231,eMBB,MAC,DL,15.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:51.231,eMBB,PUSCH,UL,15.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:51.527,eMBB,MAC,DL,0.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:51.527,eMBB,PUSCH,UL,0.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:51.652,eMBB,MAC,DL,1.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:51.652,eMBB,PUSCH,UL,1.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:51.840,eMBB,MAC,DL,2.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:51.840,eMBB,PUSCH,UL,2.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:51.996,eMBB,MAC,DL,3.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:51.996,eMBB,PUSCH,UL,3.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:52.137,eMBB,MAC,DL,4.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:52.137,eMBB,PUSCH,UL,4.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
1900-01-01 11:40:52.277,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:52.277,eMBB,MAC,DL,5.0,,,,,,0.0,,,19.0,,
1900-01-01 11:40:52.277,eMBB,PUSCH,UL,5.0,2.0,185.0,6.0,0.0,,1.0,,,19.0,,185.0
1900-01-01 11:40:52.277,eMBB,MAC,DL,5.0,,,,,,0.0,,,31.0,,
1900-01-01 11:40:52.277,eMBB,PUSCH,UL,5.0,2.0,185.0,8.0,2.0,,0.0,,,31.0,,185.0
1900-01-01 11:40:52.277,eMBB,MAC,DL,6.0,,,,,,0.0,,,26.0,,
1900-01-01 11:40:52.277,eMBB,PUSCH,UL,6.0,3.0,388.0,8.0,0.0,,1.0,,,26.0,,388.0
1900-01-01 11:40:52.277,eMBB,MAC,DL,6.0,,,,,,0.0,,,31.0,,
1900-01-01 11:40:52.277,eMBB,PUSCH,UL,6.0,3.0,388.0,8.0,2.0,,0.0,,,31.0,,388.0
1900-01-01 11:40:52.277,eMBB,PDSCH,DL,4.0,16.0,3905.0,8.0,0.0,,0.0,1.0,-63.09,27.0,,3905.0
1900-01-01 11:40:52.277,eMBB,MAC,DL,7.0,,,,,,0.0,,,20.0,,
1900-01-01 11:40:52.277,eMBB,PUCCH,UL,,1.0,,,,,0.0,,,,,
1900-01-01 11:40:52.277,eMBB,PDSCH,DL,5.0,16.0,3905.0,8.0,0.0,,0.0,1.0,-63.09,27.0,,3905.0
1900-01-01 11:40:52.277,eMBB,PUSCH,UL,7.0,3.0,285.0,8.0,0.0,,1.0,,,20.0,,285.0
